job_title,company_name,location,duration,job_type,job_status,level,years_of_experience,skills_required
Product Owner,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",2 months ago,Full Time,Hybrid,Experienced, 1 - 3 ,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Media/Journalism/Publishing · Engineering - Telecom/Technology · Analysis · Business Analysis · Product Development · Product Management · Product · business · Development
Senior Full stack Java developer,MTS-IT,"Maadi, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 2 - 5 ,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full Stack · Information Technology (IT) · Software Development · CSS · spring Framework · Java SE
Internal Auditor,Monglish Academy,"Alexandria, Egypt",1 month ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Accounting · Accounting Software · analytical · Auditing · Auditing standards · auditor · Finance
Cost accountant,Elsallab steel,"10th of Ramadan City, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3 - 6 ,Experienced · 3 - 6 Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Analyst/Research · Accounting · Accounting Software · excel · MS · Financial Analysis
Cost Control Manager,GMC,"Maadi, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 10 - 15 ,Experienced · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering · Cost · PMP
Machine Learning Lead,WUZZUF,"Maadi, Cairo, Egypt",1 month ago,Full Time,Hybrid,Manager, 7 - 10 ,Manager · 7 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Algorithms · Communication · Communication skills · Computer Science · Elasticsearch · Information Technology (IT) · learning
Technical Project Manager,TAB ERP Solutions,"New Cairo, Cairo, Egypt",2 months ago,Full Time,Remote,Manager, 8 - 15 ,Manager · 8 - 15 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · ERP · SQL
Stability Section Head,Rameda,"6th of October, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 10 - 14 ,Experienced · 10 - 14 Yrs of Exp · Manufacturing/Production · Quality · Pharmaceutical · QC · Pharmaceutical · Quality Control · Communication skills · Sciences · Pharmaceutical Sciences · quality
Salesforce Administrator,"Nile Bits, LLC","6th of October, Giza, Egypt",2 months ago,Full Time,Remote,Experienced, 3 - 10 ,Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Salesforce · CRM · Salesforce CRM
Corporate Credit Analysis,A.T Lease Egypt,"Sheikh Zayed, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 5+ ,Experienced · 5+ Yrs of Exp · Accounting/Finance · Analyst/Research · Analysis · Commerce · Business Administration · Finance · English · Financial Analysis · credit
